Retailer Name,Year,Week,Manufacturer,Sector,Category,Brand,POS $ Sales,POS Unit Sales, Shelf Price ,Inventory Units On Hand
SuperMax Stores,2021,11/28/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $8,352.5 ",51, $4.90 ,135
SuperMax Stores,2021,11/28/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $7,598.1 ",64, $4.36 ,473
SuperMax Stores,2021,11/28/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $8,259.2 ",93, $5.39 ,206
SuperMax Stores,2021,11/21/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $6,040.8 ",40, $4.86 ,5
SuperMax Stores,2021,11/21/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $2,313.0 ",37, $4.36 ,602
SuperMax Stores,2021,11/21/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $6,954.8 ",82, $5.41 ,254
SuperMax Stores,2021,11/14/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $9,488.9 ",54, $5.17 ,132
SuperMax Stores,2021,11/14/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $1,232.1 ",81, $4.36 ,119
SuperMax Stores,2021,11/14/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $2,495.9 ",87, $5.44 ,450
SuperMax Stores,2021,11/7/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp., $431.8 ,72, $7.43 ,650
SuperMax Stores,2021,11/7/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $6,195.4 ",78, $4.37 ,656
SuperMax Stores,2021,11/7/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $9,786.0 ",21, $5.51 ,280
SuperMax Stores,2021,10/31/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $6,830.6 ",57, $5.04 ,133
SuperMax Stores,2021,10/31/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $3,237.3 ",87, $4.30 ,226
SuperMax Stores,2021,10/31/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $4,797.9 ",65, $5.49 ,530
SuperMax Stores,2021,10/24/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $8,873.4 ",66, $5.20 ,158
SuperMax Stores,2021,10/24/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $4,672.3 ",49, $4.28 ,438
SuperMax Stores,2021,10/24/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $2,613.5 ",93, $5.46 ,84
SuperMax Stores,2021,10/17/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $4,223.0 ",41, $5.00 ,620
SuperMax Stores,2021,10/17/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $3,336.6 ",85, $4.02 ,598
SuperMax Stores,2021,10/17/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $3,967.9 ",69, $5.69 ,569
SuperMax Stores,2021,10/10/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $9,033.6 ",93, $4.92 ,741
SuperMax Stores,2021,10/10/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $9,700.5 ",59, $4.02 ,374
SuperMax Stores,2021,10/10/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $8,150.7 ",17, $5.72 ,536
SuperMax Stores,2021,10/3/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $6,523.0 ",74, $4.97 ,727
SuperMax Stores,2021,10/3/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $8,533.2 ",48, $4.02 ,701
SuperMax Stores,2021,10/3/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $9,001.6 ",59, $5.74 ,682
SuperMax Stores,2021,9/26/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $8,623.3 ",89, $4.81 ,149
SuperMax Stores,2021,9/26/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $2,958.4 ",2, $4.01 ,703
SuperMax Stores,2021,9/26/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $5,276.8 ",39, $5.92 ,564
SuperMax Stores,2021,9/19/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $1,276.9 ",87, $5.86 ,550
SuperMax Stores,2021,9/19/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $3,507.1 ",24, $4.03 ,570
SuperMax Stores,2021,9/19/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $4,515.3 ",11, $6.15 ,567
SuperMax Stores,2021,9/12/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $6,926.9 ",92, $5.10 ,366
SuperMax Stores,2021,9/12/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $2,892.7 ",71, $4.03 ,703
SuperMax Stores,2021,9/12/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $5,670.7 ",19, $6.15 ,56
SuperMax Stores,2021,9/5/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $9,305.1 ",77, $7.67 ,90
SuperMax Stores,2021,9/5/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $1,719.9 ",45, $4.02 ,613
SuperMax Stores,2021,9/5/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $9,911.5 ",33, $6.16 ,112
SuperMax Stores,2021,8/29/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $7,179.0 ",88, $4.33 ,252
SuperMax Stores,2021,8/29/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $9,716.9 ",39, $4.02 ,82
SuperMax Stores,2021,8/29/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $2,010.7 ",22, $6.15 ,571
SuperMax Stores,2021,8/22/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $3,389.5 ",50, $4.67 ,191
SuperMax Stores,2021,8/22/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $8,655.4 ",50, $4.01 ,179
SuperMax Stores,2021,8/22/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $4,332.6 ",67, $6.11 ,439
SuperMax Stores,2021,8/15/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $7,584.7 ",98, $4.24 ,264
SuperMax Stores,2021,8/15/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $8,257.5 ",57, $4.00 ,135
SuperMax Stores,2021,8/15/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $7,289.3 ",83, $6.05 ,429
SuperMax Stores,2021,8/8/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $1,059.6 ",58, $4.30 ,16
SuperMax Stores,2021,8/8/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $5,595.9 ",67, $4.00 ,45
SuperMax Stores,2021,8/8/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $9,938.3 ",46, $6.06 ,643
SuperMax Stores,2021,8/1/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $5,611.9 ",13, $4.49 ,170
SuperMax Stores,2021,8/1/21,Acme Corp.,Home Care,Dish Care,Me-Nakatomi," $5,564.3 ",95, $4.00 ,697
SuperMax Stores,2021,8/1/21,Acme Corp.,Home Care,Air Care,Me-Nakatomi," $3,090.6 ",38, $6.23 ,445
SuperMax Stores,2021,7/25/21,Acme Corp.,Home Care,Air Care,Glad-Acme Corp.," $4,315.1 ",79, $5.32 ,425
